"Christie_murder_is_announced" "Christie_murder_of_rodger_ackroyd" "Christie_the_ABC_murders" "Francis_dead_cert" "Francis_odds_against" "M.Westmacott_giants_bread" "Stout_black_orchids" "Stout_right_to_die" "Stout_the_silent_speaker"
"the" 4.40922697658038 4.8828687883404 4.83497840838988 5.35258939087281 5.05731788681992 3.09506609500042 4.32791548856008 3.55495808360873 4.51911628522291
"i" 2.52861419263955 3.66421013627568 2.93028994447872 3.96784558562885 3.52398859707648 2.25726857368021 3.49529046470884 4.33914001381654 3.0003968778939
"and" 2.51452720549393 1.95973485940138 1.95481184454041 2.94786914113867 2.64572087098926 2.42707971741925 3.38600843032837 2.97242293545436 2.98452176213785
"to" 2.17291776721254 2.70492815677879 2.35965453423812 2.65056659005409 2.29878085764542 2.58563266378332 2.64184981526132 2.77264325323475 3.07448075142215
"a" 2.00739566825145 1.80740252789329 2.59870450339297 2.20003887802591 2.37156547582944 2.23944309450319 2.32788079585075 2.23305140125843 1.99629580632359
"it" 1.49674238422257 1.40804479393964 1.3571869216533 1.40189587549884 1.72014314308243 1.80694067868167 2.06421620496453 2.04260721820796 2.00423336420161
"you" 1.64817749603803 2.017374119972 1.70033929673041 1.13889746492402 1.41808697761873 2.08933379617034 1.77106281115024 2.23678560092608 1.82166953300701
"of" 1.15865469272759 1.44509860430648 1.49984577421345 1.80782820486433 1.8487293018742 1.87073713047313 1.71208520529411 1.36858417819601 1.83622172245006
"he" 1.17274167987322 1.53567458520318 2.0820481184454 1.66718122877431 1.70194698853642 2.04430100667048 1.52127530399487 1.78868164080733 1.47373991268686
"was" 1.67282972354288 1.7250607270781 1.81600863664405 1.55855145049341 1.3125492812519 1.67747140886958 1.77106281115024 1.50488246606546 1.74097102791375
"that" 1.32065504490227 1.75388035736342 1.40731030228254 0.813008130081301 1.00564080790926 1.40915103809962 1.42933962427796 1.60570585709218 1.87061780658817
"in" 1.23613312202853 1.20630738194244 1.08343615052437 1.39503504739689 1.33923697458604 1.13238701929843 1.27322243230585 1.13893089863515 1.29646778674428
"t" 1.11991547807713 0.547572975420972 0.786551511412708 0.668930739940311 1.16334081397465 1.32940547336029 1.08067789554025 1.42273007337702 0.915465008599021
"s" 1.27487233667899 0.790481287825765 0.929210363972856 0.766125804717963 0.76423849093225 1.27968176828753 0.796197679057746 0.870068522563901 0.793755787802619
"she" 1.72565592533897 0.658734406521471 0.801974090067859 0.434519113123621 0.457330017589616 1.54894032217208 0.872521639577443 0.944752515917026 0.660140230189178
"had" 0.736045078358866 0.716373667092099 0.582202344231956 1.00968520233726 0.872202341238552 0.779630168216232 0.777116688927822 1.03250620810695 1.02659081889139
"said" 1.51787286494101 1.15690230145333 1.42658852560148 1.12403233736979 0.974100806696185 0.797455647393258 0.612326319623931 0.610541645661794 0.379679851832253
"on" 0.415566120795915 0.518753345135658 0.462677359654534 0.97195064777652 0.931643112755504 0.484102487123437 0.848236743048448 0.737504434362105 0.867839661330864
"at" 0.806480014086987 0.774012927662728 0.755706354102406 0.724960836106251 0.706010796385031 0.574168066123146 0.81527866918767 0.791650329543121 0.747453366847467
"her" 1.17978517344603 0.588743875828564 0.535934608266502 0.389923730460933 0.368775398799054 1.19430710486073 0.995680757688772 0.795384529210777 0.457732504299511
"his" 0.235957034689206 0.551690065461732 0.640037014188772 0.975381061827496 0.635652332140474 0.691440955445684 0.747627885999757 0.698295337851715 0.695859240640296
"with" 0.577566472970593 0.61344641607312 0.516656384947563 0.780990932272192 0.698732334566628 0.653913630862472 0.844767472115735 0.632946843667731 0.70908850377034
"but" 0.753653812290896 0.625797686195397 0.697871684145589 0.564874847060707 0.559228483047249 0.706451885278969 0.737220073201617 0.873802722231558 0.627067072364069
"for" 0.394435640077478 0.526987525217177 0.528223318938927 0.696374052348118 0.730272335779705 0.549775305144058 0.67130392548006 0.681491439347262 0.809630903558672
"me" 0.433174854727945 0.724607847173618 0.589913633559531 0.80843424468 0.704797719415297 0.3715205133738 0.73028153133619 0.619877144830934 0.73951580896944
"him" 0.302870223630921 0.539338795339454 0.532078963602714 0.604896344322093 0.487656941832959 0.561033502519022 0.67130392548006 0.565731249649919 0.665431935441196
"my" 0.302870223630921 0.642266046358434 0.427976557680444 0.922781379712531 0.640504640019409 0.244865792905459 0.568960432965012 0.582535148154372 0.518587114697711
"be" 0.405000880436697 0.465231174605789 0.528223318938927 0.410506214766789 0.460969248498817 0.701760969706067 0.360804177002203 0.560129950148434 0.508003704193676
"as" 0.295826730058109 0.424060274198197 0.320018507094386 0.607183287022744 0.53981925153151 0.480349754665116 0.515186733507953 0.423831662278982 0.568858314591877
"have" 0.257087515407642 0.683436946766026 0.308451573103023 0.401358443964186 0.43913386304361 0.424996950904878 0.51171746257524 0.733770234694449 0.596639767164969
"not" 0.362739918999824 0.605212235991601 0.578346699568168 0.52027946439802 0.351792321222782 0.459709726144349 0.451005221252754 0.565731249649919 0.525201746262733
